fundingTime,fundingRate,markPrice
2023-12-01 00:00:00+00:00,0.0001,2051.77000000
2023-12-01 08:00:00+00:00,0.0001,2092.78875379
2023-12-01 16:00:00+00:00,0.0001,2079.57779167
2023-12-02 00:00:00+00:00,0.0001,2087.12103030
2023-12-02 08:00:00+00:00,0.0001,2095.65000000
2023-12-02 16:00:00+00:00,0.0001,2103.75000000
2023-12-03 00:00:00+00:00,0.0001,2165.35966872
2023-12-03 08:00:00+00:00,0.0001,2164.73536364
2023-12-03 16:00:00+00:00,0.0001,2160.35000000
2023-12-04 00:00:00+00:00,0.0001,2193.25000000
2023-12-04 08:00:00+00:00,0.0001,2247.34961789
2023-12-04 16:00:00+00:00,0.0001,2212.15000000
2023-12-05 00:00:00+00:00,0.0001,2243.60849242
2023-12-05 08:00:00+00:00,0.0001,2200.19000000
2023-12-05 16:00:00+00:00,0.0001,2228.84545455
2023-12-06 00:00:00+00:00,0.0001,2293.72126894
2023-12-06 08:00:00+00:00,0.0001,2266.40000000
2023-12-06 16:00:00+00:00,0.0001,2252.84000000
2023-12-07 00:00:00+00:00,0.0001,2233.16621970
2023-12-07 08:00:00+00:00,0.0001,2261.96000000
2023-12-07 16:00:00+00:00,0.0001,2322.41451515
2023-12-08 00:00:00+00:00,0.00022693,2357.04000000
2023-12-08 08:00:00+00:00,0.00012399,2354.37000000
2023-12-08 16:00:00+00:00,0.00010417,2347.44000000
2023-12-09 00:00:00+00:00,0.00022528,2360.37334848
2023-12-09 08:00:00+00:00,0.00031293,2385.42000000
2023-12-09 16:00:00+00:00,0.00033485,2364.32306626
2023-12-10 00:00:00+00:00,0.00016658,2342.21000000
2023-12-10 08:00:00+00:00,0.00015944,2355.49000000
2023-12-10 16:00:00+00:00,0.00022842,2353.53000000
2023-12-11 00:00:00+00:00,0.00024112,2353.81954878
2023-12-11 08:00:00+00:00,0.0001,2237.15000000
2023-12-11 16:00:00+00:00,0.0001,2220.05000000
2023-12-12 00:00:00+00:00,0.0001,2225.56000000
2023-12-12 08:00:00+00:00,0.0001,2233.91000000
2023-12-12 16:00:00+00:00,0.0001,2194.72817073
2023-12-13 00:00:00+00:00,0.00012813,2204.45285985
2023-12-13 08:00:00+00:00,0.00015058,2174.28468939
2023-12-13 16:00:00.001000+00:00,0.00010581,2218.58796591
2023-12-14 00:00:00+00:00,0.0001,2261.17753030
2023-12-14 08:00:00+00:00,0.0001,2283.20000000
2023-12-14 16:00:00+00:00,0.0001,2275.96000000
2023-12-15 00:00:00+00:00,0.0001,2316.53000000
2023-12-15 08:00:00+00:00,0.0001,2272.49000000
2023-12-15 16:00:00+00:00,0.00010419,2232.83531818
2023-12-16 00:00:00+00:00,0.0001,2221.42673485
2023-12-16 08:00:00+00:00,0.0001,2242.50926810
2023-12-16 16:00:00.001000+00:00,0.0001,2257.44000000
2023-12-17 00:00:00+00:00,0.0001,2229.64000000
2023-12-17 08:00:00+00:00,0.0001,2209.78000000
2023-12-17 16:00:00+00:00,0.00011402,2223.06390530
2023-12-18 00:00:00+00:00,0.00015083,2197.34822348
2023-12-18 08:00:00.001000+00:00,0.0001,2170.05000000
2023-12-18 16:00:00+00:00,0.0001,2156.12584848
