target,rank,feature,importance
y_high_strong_4,6,sweep_BSL_mag_72h_pct,0.01984634524710776
y_high_strong_4,7,bulk_bars_since_v_bottom,0.016138017590906148
y_high_strong_4,8,vad_maxV_sweep_HH,0.015233066915128405
y_high_strong_4,9,candle_upper_wick_pct,0.011958227680130324
y_high_strong_4,10,vad_maxV_align,0.011500653609212827
y_high_strong_4,11,usdtd_1d_return_pct,0.00957409487338503
y_high_strong_4,12,bars_since_30d_high,0.009559606208864256
y_high_strong_4,13,zs_SHORT_FVG_1h_age_h,0.008920868266277353
y_high_strong_4,14,sweep_BSL_mag_168h_pct,0.007679980597013302
y_high_strong_4,15,vad_dist_maxV_prev_pct,0.007652326598951852
y_high_strong_4,16,zs_SHORT_FVG_1d_age_h,0.007262459925808493
y_high_strong_4,17,zs_LONG_FVG_12h_age_h,0.0070980600870257215
y_high_strong_4,18,dist_block_12h_above_pct,0.006976432036456493
y_high_strong_4,19,candle_body_pct,0.006540411851678177
y_high_strong_4,20,zs_SHORT_OB_1d_birth_body_pct,0.006395886189824909
y_high_strong_4,21,zs_LONG_OB_2h_touch_count,0.00619596035317719
y_high_strong_4,22,zs_LONG_OB_1h_birth_body_pct,0.005899183003503319
y_high_strong_4,23,zs_LONG_FVG_2h_birth_body_pct,0.005790716737928489
y_high_strong_4,24,zs_LONG_FVG_2h_touch_count,0.005756687627994426
y_high_strong_4,25,pre_3d_return_pct,0.005659678587419941
y_high_strong_4,26,lopez_parkinson_vs_atr,0.005555318984925101
y_high_strong_4,27,zs_LONG_FVG_1d_width_pct,0.0054114692362220666
y_high_strong_4,28,zs_SHORT_FVG_2h_age_h,0.005357715557866727
y_high_strong_4,29,zs_LONG_OB_4h_age_h,0.005253405471572276
y_high_strong_4,30,zs_SHORT_OB_1h_width_pct,0.0050873939642866895
y_high_strong_5,1,sweep_BSL_failed_24h,0.27390251904864693
y_high_strong_5,2,sweep_BSL_mag_24h_pct,0.15247736977620496
y_high_strong_5,3,candle_close_pos_in_range,0.09201315151351806
y_high_strong_5,4,vsa_climax_bear,0.031487447692945245
y_high_strong_5,5,bulk_bars_since_v_bottom,0.021363998545931625
y_high_strong_5,6,sweep_BSL_mag_72h_pct,0.019697790638514588
y_high_strong_5,7,zs_LONG_FVG_1d_width_pct,0.017816053637076466
y_high_strong_5,8,candle_upper_wick_pct,0.01683019650440945
y_high_strong_5,9,candle_range_vs_atr,0.015900203747377783
y_high_strong_5,10,vad_maxV_sweep_HH,0.01143757862308267
y_high_strong_5,11,zs_LONG_FVG_12h_age_h,0.009953307277186582
y_high_strong_5,12,vad_maxV_align,0.00974288146403054
y_high_strong_5,13,usdtd_1d_return_pct,0.009451056004070611
y_high_strong_5,14,dist_LONG_OB_1h_pct,0.009124260005813652
y_high_strong_5,15,vsa_vol_up_down_ratio_60,0.008922585096121505
y_high_strong_5,16,zs_SHORT_FVG_1d_touch_count,0.008580147054418692
y_high_strong_5,17,sweep_BSL_failed_168h,0.008185730646106032
y_high_strong_5,18,zs_LONG_FVG_2h_age_h,0.008081899518569908
y_high_strong_5,19,zs_LONG_OB_1d_birth_body_pct,0.007718678252944778
y_high_strong_5,20,zs_LONG_OB_1h_birth_body_pct,0.007647570099932838
y_high_strong_5,21,doji_after_long_white,0.006918473535465689
y_high_strong_5,22,zs_SHORT_OB_2h_birth_body_pct,0.006828526271822368
y_high_strong_5,23,candle_body_pct,0.006717391521832653
y_high_strong_5,24,lopez_gk_vs_cc,0.006243738217270388
y_high_strong_5,25,usdtd_rsi14,0.005739066772357696
y_high_strong_5,26,zs_SHORT_FVG_1d_width_pct,0.005220763777250691
y_high_strong_5,27,zs_LONG_FVG_2h_width_pct,0.005067701720247071
y_high_strong_5,28,zs_SHORT_FVG_2h_width_pct,0.005059690637312307
y_high_strong_5,29,zs_SHORT_FVG_2h_touch_count,0.005042921211109097
y_high_strong_5,30,lopez_fracdiff_d03,0.004810397398234967
