idx,time_utc,side,tier,p_main,p3,p4,p5,p_opp_3,close,high,low,hit_3,hit_4,hit_5
51,2025-03-31 00:00,LONG,C_signal,0.652,0.652,0.709,0.558,0.003,82205.51,82444.89,81278.52,1,1,1
52,2025-04-02 12:00,SHORT,A_sniper,0.969,0.969,0.958,0.964,0.106,82516.29,88500.0,82320.0,1,1,1
53,2025-04-03 12:00,LONG,B_strong,0.728,0.728,0.666,0.473,0.004,83213.09,83332.2,81211.24,1,0,0
54,2025-04-04 00:00,SHORT,D_watch,0.593,0.593,0.481,0.447,0.005,82680.45,84720.0,81659.0,1,1,1
55,2025-04-06 12:00,LONG,F_min,0.33,0.33,0.374,0.427,0.005,78430.0,82981.14,77153.83,0,0,0
56,2025-04-07 00:00,LONG,E_weak,0.482,0.482,0.578,0.626,0.003,76685.62,79347.46,74508.0,1,1,1
57,2025-04-09 00:00,LONG,F_min,0.373,0.373,0.416,0.461,0.005,76230.01,77979.3,74620.0,1,1,1
58,2025-04-13 00:00,SHORT,D_watch,0.521,0.521,0.255,0.273,0.003,84528.66,86100.0,84216.15,1,0,0
59,2025-04-13 12:00,LONG,F_min,0.361,0.361,0.218,0.225,0.005,83760.0,84990.22,83034.23,1,1,1
60,2025-04-14 12:00,SHORT,D_watch,0.519,0.519,0.405,0.4,0.004,84591.58,85799.99,83709.25,0,0,0
61,2025-04-15 12:00,SHORT,B_strong,0.764,0.764,0.701,0.779,0.086,83643.99,86496.42,83600.0,1,0,0
62,2025-04-16 00:00,LONG,D_watch,0.568,0.568,0.618,0.412,0.003,84048.11,84127.05,83111.64,1,1,1
63,2025-04-19 12:00,SHORT,F_min,0.308,0.308,0.364,0.318,0.003,85077.01,85677.99,84694.49,0,0,0
64,2025-04-23 00:00,SHORT,E_weak,0.437,0.437,0.519,0.336,0.004,93466.01,94521.79,92580.18,0,0,0
65,2025-04-24 00:00,LONG,C_signal,0.616,0.616,0.584,0.573,0.004,92619.94,93787.65,91660.01,1,1,1
66,2025-04-25 12:00,SHORT,F_min,0.324,0.324,0.298,0.231,0.003,94638.68,95758.04,93929.41,1,0,0
67,2025-04-26 12:00,LONG,E_weak,0.401,0.401,0.416,0.3,0.003,94628.0,94888.0,93870.69,0,0,0
68,2025-04-27 00:00,SHORT,F_min,0.379,0.379,0.37,0.279,0.117,93920.01,95369.0,93655.0,0,0,0
69,2025-04-28 00:00,LONG,C_signal,0.629,0.629,0.603,0.547,0.068,95319.99,95550.0,92800.01,1,1,1
70,2025-04-30 12:00,LONG,E_weak,0.416,0.416,0.457,0.441,0.004,94172.0,95214.9,92910.0,1,1,1
71,2025-05-02 12:00,SHORT,D_watch,0.515,0.515,0.594,0.555,0.004,96887.14,97895.68,96561.57,1,1,0
72,2025-05-06 12:00,LONG,D_watch,0.56,0.56,0.723,0.53,0.057,96834.02,96920.65,93377.0,1,1,1
73,2025-05-09 00:00,SHORT,F_min,0.362,0.362,0.305,0.442,0.002,102958.31,104361.3,102364.0,1,0,0
74,2025-05-12 00:00,SHORT,E_weak,0.491,0.491,0.584,0.484,0.002,103762.9,105819.45,103625.0,1,1,0
75,2025-05-12 12:00,LONG,F_min,0.375,0.375,0.406,0.31,0.003,102791.32,104629.96,100718.37,1,1,1
76,2025-05-15 12:00,LONG,F_min,0.346,0.346,0.387,0.375,0.003,103763.71,104192.7,101383.07,1,1,1
77,2025-05-19 00:00,LONG,F_min,0.359,0.359,0.404,0.256,0.749,102963.41,107108.62,102000.0,1,1,1
78,2025-05-19 00:00,SHORT,B_strong,0.749,0.749,0.654,0.401,0.359,102963.41,107108.62,102000.0,0,0,0
79,2025-05-21 00:00,SHORT,D_watch,0.538,0.538,0.485,0.355,0.005,106546.44,107985.05,106100.01,0,0,0
80,2025-05-25 00:00,LONG,E_weak,0.477,0.477,0.342,0.309,0.004,107260.0,108288.69,106708.98,0,0,0
81,2025-05-25 12:00,LONG,B_strong,0.767,0.767,0.627,0.643,0.023,109004.19,109299.99,106600.64,1,0,0
82,2025-05-27 00:00,LONG,D_watch,0.581,0.581,0.537,0.518,0.001,109585.49,109899.0,107516.57,0,0,0
83,2025-05-27 12:00,SHORT,E_weak,0.46,0.46,0.489,0.452,0.004,108938.17,110718.0,108600.0,1,1,1
84,2025-05-30 00:00,LONG,A_sniper,0.857,0.857,0.805,0.706,0.003,105880.51,106313.12,104600.5,0,0,0
85,2025-06-02 12:00,LONG,B_strong,0.773,0.773,0.735,0.564,0.003,105857.99,105931.44,103659.88,1,1,1
86,2025-06-03 00:00,SHORT,F_min,0.321,0.321,0.331,0.268,0.004,105287.24,106500.0,104872.5,0,0,0
87,2025-06-03 12:00,SHORT,F_min,0.35,0.35,0.282,0.202,0.004,105376.89,106794.67,105031.6,1,1,1
88,2025-06-05 12:00,LONG,D_watch,0.519,0.519,0.58,0.505,0.405,101508.68,105909.71,100372.26,1,1,1
89,2025-06-05 12:00,SHORT,E_weak,0.405,0.405,0.482,0.552,0.519,101508.68,105909.71,100372.26,1,0,0
90,2025-06-11 12:00,LONG,F_min,0.349,0.349,0.342,0.349,0.005,108645.12,110392.01,108064.0,0,0,0
91,2025-06-13 00:00,LONG,B_strong,0.701,0.701,0.661,0.677,0.005,105039.48,105694.0,102664.31,1,1,1
92,2025-06-17 12:00,LONG,D_watch,0.582,0.582,0.274,0.354,0.004,104551.17,105862.03,103371.02,1,1,0
93,2025-06-20 12:00,LONG,F_min,0.328,0.328,0.285,0.265,0.004,103297.99,106149.17,102345.0,0,0,0
94,2025-06-21 12:00,LONG,E_weak,0.428,0.428,0.276,0.311,0.004,102120.01,103946.47,100837.9,0,0,0
95,2025-06-22 12:00,LONG,A_sniper,0.954,0.954,0.944,0.957,0.003,100963.87,102831.0,98200.0,1,1,1
96,2025-06-26 00:00,SHORT,F_min,0.308,0.308,0.365,0.227,0.004,107325.41,108272.45,107105.43,0,0,0
97,2025-06-27 00:00,LONG,F_min,0.311,0.311,0.265,0.278,0.005,106983.6,107735.34,106438.33,0,0,0
98,2025-06-30 00:00,SHORT,F_min,0.337,0.337,0.239,0.421,0.004,107654.2,108789.99,107400.0,1,0,0
99,2025-07-02 00:00,LONG,B_strong,0.737,0.737,0.638,0.707,0.09,107479.99,107860.23,105100.19,1,1,1
100,2025-07-03 12:00,SHORT,F_min,0.379,0.379,0.478,0.578,0.004,109584.78,110529.18,108749.99,0,0,0
101,2025-07-04 00:00,LONG,F_min,0.35,0.35,0.358,0.112,0.004,108888.0,109767.59,108518.83,0,0,0
102,2025-07-04 12:00,LONG,F_min,0.35,0.35,0.216,0.192,0.005,107984.24,108978.64,107245.0,1,1,1
103,2025-07-07 12:00,LONG,D_watch,0.5,0.5,0.453,0.437,0.004,108262.94,108660.0,107513.2,0,0,0
104,2025-07-08 00:00,LONG,D_watch,0.538,0.538,0.45,0.566,0.002,108756.37,109005.0,107429.57,1,1,1
105,2025-07-14 00:00,SHORT,F_min,0.348,0.348,0.234,0.409,0.002,121467.24,123218.0,118905.18,1,1,1
106,2025-07-15 12:00,LONG,C_signal,0.615,0.615,0.623,0.461,0.005,117758.09,118490.71,115736.92,1,1,0
107,2025-07-16 12:00,SHORT,E_weak,0.472,0.472,0.435,0.556,0.003,118630.43,120063.84,118181.14,0,0,0
108,2025-07-17 12:00,LONG,F_min,0.368,0.368,0.371,0.369,0.336,119177.56,120998.71,117453.57,0,0,0
109,2025-07-17 12:00,SHORT,F_min,0.336,0.336,0.283,0.333,0.368,119177.56,120998.71,117453.57,1,1,1
110,2025-07-18 12:00,LONG,F_min,0.304,0.304,0.245,0.269,0.004,117924.84,119531.48,116812.76,0,0,0
111,2025-07-20 12:00,LONG,F_min,0.318,0.318,0.236,0.328,0.493,117265.12,118856.8,116467.02,1,0,0
112,2025-07-20 12:00,SHORT,E_weak,0.493,0.493,0.51,0.548,0.318,117265.12,118856.8,116467.02,0,0,0
