signal_time,direction_x,htf,ltf,outcome,R,exit_reason,hold_h,max_R,tf,direction_y,side,distance_pct,age_bars,P_hit_D,P_hit_12h,n_train,bucket_used,direction,direction_model
2020-06-14 12:15:00+00:00,SHORT,1h,15m,win,4.5,cap_hit,0.8833333333333333,5.143468534189229,1h,short,below,0.0,0,0.9176114688503219,0.9175584066526762,108,no_age,SHORT,SHORT
2020-06-15 16:00:00+00:00,LONG,1h,20m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0,1h,long,above,0.0,18,0.9622700765506446,0.9394989873116796,131,no_age,LONG,LONG
2020-06-15 13:30:00+00:00,LONG,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0,1h,long,above,0.0,0,0.9622700765506446,0.9394989873116796,131,no_age,LONG,LONG
2020-06-17 06:15:00+00:00,LONG,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0,1h,long,below,0.0,0,0.9176114688503219,0.9175584066526762,108,no_age,LONG,LONG
2020-06-17 13:15:00+00:00,SHORT,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0,1h,short,below,0.0,0,0.9176114688503219,0.9175584066526762,108,no_age,SHORT,SHORT
2020-06-18 15:40:00+00:00,SHORT,1h,20m,win,4.5,cap_hit,4.85,4.829557796741514,1h,short,below,0.0,0,0.9176114688503219,0.9175584066526762,108,no_age,SHORT,SHORT
2020-06-19 08:30:00+00:00,LONG,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0,1h,long,above,0.0,0,0.9622700765506446,0.9394989873116796,131,no_age,LONG,LONG
2020-06-19 19:30:00+00:00,SHORT,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0,1h,short,below,0.0,0,0.9176114688503219,0.9175584066526762,108,no_age,SHORT,SHORT
2020-06-19 22:40:00+00:00,SHORT,1h,20m,loss,-1.0,sl_hit,3.1,1.4191877375114743,1h,short,below,0.0,0,0.9176114688503219,0.9175584066526762,108,no_age,SHORT,SHORT
2020-06-21 06:15:00+00:00,SHORT,1h,15m,win,1.07203398241325,score_exit,1.55,2.1403362512157043,1h,short,above,0.0,0,0.9622700765506446,0.9394989873116796,131,no_age,SHORT,SHORT
2020-06-22 00:15:00+00:00,LONG,1h,15m,win,4.5,cap_hit,4.35,4.781045986082113,1h,long,below,0.0,0,0.9176114688503219,0.9175584066526762,108,no_age,LONG,LONG
2020-06-23 00:20:00+00:00,SHORT,1h,20m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0,1h,short,below,0.0,0,0.9176114688503219,0.9175584066526762,108,no_age,SHORT,SHORT
2020-06-23 22:20:00+00:00,SHORT,1h,20m,loss,-1.0,sl_hit,1.7666666666666666,1.0589890934679924,1h,short,below,0.0,0,0.9176114688503219,0.9175584066526762,108,no_age,SHORT,SHORT
2020-06-24 07:15:00+00:00,SHORT,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0,1h,short,below,0.0,0,0.9176114688503219,0.9175584066526762,108,no_age,SHORT,SHORT
2020-06-25 22:15:00+00:00,SHORT,1h,15m,win,0.2522675051396925,score_exit,1.2,0.4685659001779675,1h,short,above,0.0,0,0.9622700765506446,0.9394989873116796,131,no_age,SHORT,SHORT
2020-06-26 00:15:00+00:00,LONG,1h,15m,loss,-1.0,sl_hit,3.4,0.3170670994593477,1h,long,below,0.0,0,0.9176114688503219,0.9175584066526762,108,no_age,LONG,LONG
2020-06-26 05:15:00+00:00,SHORT,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0,1h,short,above,0.051643701855269813,0,0.9622700765506446,0.9394989873116796,131,no_age,SHORT,SHORT
2020-06-26 09:20:00+00:00,LONG,1h,20m,loss,-0.3833375855910294,score_exit,2.35,0.7298805000655167,1h,long,above,0.0,0,0.9622700765506446,0.9394989873116796,131,no_age,LONG,LONG
2020-06-27 11:20:00+00:00,LONG,1h,20m,loss,-1.0,sl_hit,1.8,1.2437101391050591,1h,long,above,0.0,0,0.9622700765506446,0.9394989873116796,131,no_age,LONG,LONG
2020-06-27 19:30:00+00:00,SHORT,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0,1h,short,below,0.0,0,0.9176114688503219,0.9175584066526762,108,no_age,SHORT,SHORT
2020-06-28 16:30:00+00:00,SHORT,1h,15m,win,0.1256885142878072,score_exit,1.05,0.4092270156370995,1h,short,below,0.0,0,0.9176114688503219,0.9175584066526762,108,no_age,SHORT,SHORT
2020-06-30 01:30:00+00:00,LONG,1h,15m,loss,-1.0,sl_hit,1.8,0.2400762784161836,1h,long,above,0.0,0,0.9622700765506446,0.9394989873116796,131,no_age,LONG,LONG
2020-06-30 09:15:00+00:00,LONG,1h,15m,win,0.0347369736348394,score_exit,1.5166666666666666,0.5532925153067032,1h,long,below,0.0,0,0.9176114688503219,0.9175584066526762,108,no_age,LONG,LONG
2020-07-02 12:20:00+00:00,LONG,1h,20m,loss,-1.0,sl_hit,0.5166666666666667,0.4672669183851177,1h,long,above,0.0,0,0.9622700765506446,0.9394989873116796,131,no_age,LONG,LONG
2020-07-02 20:15:00+00:00,LONG,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0,1h,long,above,0.0,0,0.9622700765506446,0.9394989873116796,131,no_age,LONG,LONG
2020-07-03 02:30:00+00:00,SHORT,1h,15m,loss,-1.0,sl_hit,2.6333333333333333,1.8375744073520517,1h,short,below,0.0,0,0.9176114688503219,0.9175584066526762,108,no_age,SHORT,SHORT
2020-07-05 09:20:00+00:00,SHORT,1h,20m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0,1h,short,below,0.0,0,0.9176114688503219,0.9175584066526762,108,no_age,SHORT,SHORT
2020-07-05 19:30:00+00:00,SHORT,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0,1h,short,below,0.0,0,0.9176114688503219,0.9175584066526762,108,no_age,SHORT,SHORT
2020-07-05 21:30:00+00:00,LONG,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0,1h,long,above,0.0,0,0.9622700765506446,0.9394989873116796,131,no_age,LONG,LONG
2020-07-10 04:15:00+00:00,SHORT,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0,1h,short,below,0.0,0,0.9176114688503219,0.9175584066526762,108,no_age,SHORT,SHORT
2020-07-12 13:15:00+00:00,SHORT,1h,15m,loss,-1.0,sl_hit,0.5166666666666667,0.1581877986341685,1h,short,above,0.0,0,0.9622700765506446,0.9394989873116796,131,no_age,SHORT,SHORT
2020-07-14 11:15:00+00:00,LONG,1h,15m,win,0.1825296277883736,score_exit,1.85,0.3760924996391636,1h,long,below,0.0,0,0.9176114688503219,0.9175584066526762,108,no_age,LONG,LONG
2020-07-14 14:30:00+00:00,LONG,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0,1h,long,below,0.0,0,0.9176114688503219,0.9175584066526762,108,no_age,LONG,LONG
2020-07-15 22:15:00+00:00,SHORT,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0,1h,short,above,0.0,0,0.9622700765506446,0.9394989873116796,131,no_age,SHORT,SHORT
2020-07-16 00:30:00+00:00,LONG,1h,15m,win,0.0076047722701808,score_exit,1.4666666666666666,0.2418097153721704,1h,long,above,0.0,0,0.9622700765506446,0.9394989873116796,131,no_age,LONG,LONG
2020-07-17 11:40:00+00:00,LONG,1h,20m,win,0.6662714026482538,score_exit,35.68333333333333,3.0407301604412553,1h,long,above,0.0,0,0.9622700765506446,0.9394989873116796,131,no_age,LONG,LONG
2020-07-18 08:40:00+00:00,LONG,1h,20m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0,1h,long,above,0.0,0,0.9622700765506446,0.9394989873116796,131,no_age,LONG,LONG
2020-07-18 19:40:00+00:00,SHORT,1h,20m,win,0.1783474229615812,score_exit,1.6333333333333333,0.6583037905645096,1h,short,below,0.0,0,0.9176114688503219,0.9175584066526762,108,no_age,SHORT,SHORT
2020-07-19 06:15:00+00:00,LONG,1h,15m,loss,-1.0,sl_hit,0.5666666666666667,0.6472350230414983,1h,long,above,0.0,0,0.9622700765506446,0.9394989873116796,131,no_age,LONG,LONG
2020-07-19 12:30:00+00:00,LONG,1h,15m,win,0.3518714956810351,score_exit,1.95,0.6322170025760675,1h,long,above,0.0,0,0.9622700765506446,0.9394989873116796,131,no_age,LONG,LONG
2020-07-21 19:15:00+00:00,SHORT,1h,15m,loss,-0.2895667135929154,score_exit,1.2333333333333334,1.1876740184576808,1h,short,below,0.0,0,0.9176114688503219,0.9175584066526762,108,no_age,SHORT,SHORT
2020-07-23 02:15:00+00:00,SHORT,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0,1h,short,below,0.0,0,0.9176114688503219,0.9175584066526762,108,no_age,SHORT,SHORT
2020-07-23 12:15:00+00:00,SHORT,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0,1h,short,below,0.0,0,0.9176114688503219,0.9175584066526762,108,no_age,SHORT,SHORT
2020-07-23 15:15:00+00:00,LONG,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0,1h,long,below,0.0,0,0.9176114688503219,0.9175584066526762,108,no_age,LONG,LONG
2020-07-23 21:15:00+00:00,LONG,1h,15m,loss,-1.0,sl_hit,2.683333333333333,0.9005339754998755,1h,long,above,0.0,0,0.9622700765506446,0.9394989873116796,131,no_age,LONG,LONG
2020-07-27 16:15:00+00:00,LONG,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0,1h,long,above,0.0,0,0.9622700765506446,0.9394989873116796,131,no_age,LONG,LONG
2020-07-28 02:00:00+00:00,SHORT,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0,1h,short,above,0.0,3,0.9636542695693303,0.9513886137212403,81,full,SHORT,SHORT
2020-07-28 07:20:00+00:00,SHORT,1h,20m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0,1h,short,below,0.0,0,0.9176114688503219,0.9175584066526762,108,no_age,SHORT,SHORT
2020-07-28 19:15:00+00:00,LONG,1h,15m,loss,-1.0,sl_hit,0.05,0.4084239913818228,1h,long,above,0.0,0,0.9622700765506446,0.9394989873116796,131,no_age,LONG,LONG
2020-07-31 14:20:00+00:00,LONG,1h,20m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0,1h,long,above,0.0,0,0.9622700765506446,0.9394989873116796,131,no_age,LONG,LONG
2020-07-31 19:20:00+00:00,LONG,1h,20m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0,1h,long,above,0.0,0,0.9622700765506446,0.9394989873116796,131,no_age,LONG,LONG
2020-07-31 22:45:00+00:00,SHORT,1h,15m,win,1.0065347897487542,score_exit,1.4,1.3928982712448768,1h,short,above,0.0,0,0.9622700765506446,0.9394989873116796,131,no_age,SHORT,SHORT
2020-08-01 10:15:00+00:00,SHORT,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0,1h,short,below,0.0,0,0.9176114688503219,0.9175584066526762,108,no_age,SHORT,SHORT
2020-08-01 19:15:00+00:00,LONG,1h,15m,loss,-1.0,sl_hit,8.366666666666667,3.6289936612899902,1h,long,below,0.0,0,0.9176114688503219,0.9175584066526762,108,no_age,LONG,LONG
2020-08-02 04:15:00+00:00,SHORT,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0,1h,short,below,0.0,0,0.9176114688503219,0.9175584066526762,108,no_age,SHORT,SHORT
2020-08-03 00:20:00+00:00,LONG,1h,20m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0,1h,long,below,0.0,0,0.9176114688503219,0.9175584066526762,108,no_age,LONG,LONG
2020-08-04 08:45:00+00:00,SHORT,1h,15m,win,4.5,cap_hit,1.85,6.697952068623764,1h,short,below,0.0,0,0.9176114688503219,0.9175584066526762,108,no_age,SHORT,SHORT
2020-08-04 20:30:00+00:00,SHORT,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0,1h,short,below,0.0,0,0.9176114688503219,0.9175584066526762,108,no_age,SHORT,SHORT
2020-08-09 18:30:00+00:00,LONG,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0,1h,long,below,0.0,0,0.9176114688503219,0.9175584066526762,108,no_age,LONG,LONG
2020-08-10 16:15:00+00:00,SHORT,1h,15m,win,0.3758191141479932,score_exit,1.2333333333333334,1.774961509587722,1h,short,above,0.0,0,0.9622700765506446,0.9394989873116796,131,no_age,SHORT,SHORT
2020-08-10 23:15:00+00:00,LONG,1h,15m,win,0.340656954683167,score_exit,3.0,0.8154344027544164,1h,long,below,0.0,0,0.9176114688503219,0.9175584066526762,108,no_age,LONG,LONG
2020-08-11 02:30:00+00:00,SHORT,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0,1h,short,below,0.0,0,0.9176114688503219,0.9175584066526762,108,no_age,SHORT,SHORT
2020-08-11 06:15:00+00:00,SHORT,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0,1h,short,below,0.0,0,0.9176114688503219,0.9175584066526762,108,no_age,SHORT,SHORT
2020-08-11 17:30:00+00:00,LONG,1h,15m,loss,-0.5687496890583035,score_exit,1.7166666666666666,0.2203725177284568,1h,long,below,0.0,0,0.9176114688503219,0.9175584066526762,108,no_age,LONG,LONG
2020-08-12 04:15:00+00:00,SHORT,1h,15m,loss,-1.0,sl_hit,2.2333333333333334,4.3727895939530805,1h,short,below,0.0,2,0.9548431834043195,0.9547555503809348,65,full,SHORT,SHORT
2020-08-13 04:40:00+00:00,SHORT,1h,20m,win,4.5,cap_hit,1.9,6.776761399343181,1h,short,below,0.0,0,0.9176114688503219,0.9175584066526762,108,no_age,SHORT,SHORT
2020-08-13 10:40:00+00:00,LONG,1h,20m,win,4.5,cap_hit,36.06666666666667,4.719971390039087,1h,long,above,0.0,0,0.9622700765506446,0.9394989873116796,131,no_age,LONG,LONG
2020-08-14 15:40:00+00:00,LONG,1h,20m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0,1h,long,below,0.0,0,0.9176114688503219,0.9175584066526762,108,no_age,LONG,LONG
2020-08-15 02:15:00+00:00,SHORT,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0,1h,short,below,0.0,0,0.9176114688503219,0.9175584066526762,108,no_age,SHORT,SHORT
2020-08-15 05:40:00+00:00,LONG,1h,20m,loss,-1.0,sl_hit,1.6833333333333331,1.4815852730501002,1h,long,below,0.0,0,0.9176114688503219,0.9175584066526762,108,no_age,LONG,LONG
2020-08-15 08:30:00+00:00,SHORT,1h,15m,loss,-1.0,sl_hit,12.4,3.9639027803504026,1h,short,below,0.0,0,0.9176114688503219,0.9175584066526762,108,no_age,SHORT,SHORT
2020-08-15 19:15:00+00:00,SHORT,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0,1h,short,below,0.0,0,0.9176114688503219,0.9175584066526762,108,no_age,SHORT,SHORT
