signal_time,direction,outcome,R,entry,sl,tp,hull_1d_L49,hull_1d_L78,hull_1d_L100,hull_1d_L160,hull_12h_L49,hull_12h_L78,hull_12h_L100,hull_12h_L160,hull_4h_L49,hull_4h_L78,hull_4h_L100,hull_4h_L160,hull_1h_L49,hull_1h_L78,hull_1h_L100,hull_1h_L160,ema200_1d,ema200_4h,ema200_1h,ema200_15m,asvk_1h,asvk_4h,mh_1h_color,mh_1h_color_align,mh_4h_color,mh_4h_color_align,mh_1h_mf_align,mh_4h_mf_align,hour,weekday,session,do_align,atr_ratio_bin
2020-03-06T20:00:00+00:00,LONG,win,2.2,9082.95,9036.58,9184.96,counter,na,na,na,aligned,aligned,counter,na,aligned,aligned,aligned,aligned,counter,counter,counter,aligned,aligned,counter,aligned,aligned,neutral,yellow_OB,red,counter,green,aligned,aligned,counter,20,Friday,off,counter,med
2020-03-27T06:00:00+00:00,SHORT,win,2.2,6723.0,6805.82,6540.79,counter,na,na,na,counter,counter,counter,na,counter,counter,counter,counter,aligned,aligned,aligned,aligned,aligned,aligned,counter,counter,neutral,red,green,counter,grey_from_green,aligned,counter,counter,6,Friday,Asia,counter,low
2020-05-01T16:00:00+00:00,SHORT,loss,-1.0,8772.05,8931.1,8422.14,counter,counter,counter,na,counter,counter,counter,counter,aligned,counter,counter,counter,aligned,aligned,aligned,aligned,counter,counter,counter,counter,neutral,yellow_OB,green,counter,grey_from_green,aligned,counter,counter,16,Friday,NY,aligned,low
2020-09-20T18:00:00+00:00,LONG,loss,-1.0,10858.77,10792.33,11004.94,aligned,aligned,counter,counter,aligned,aligned,aligned,aligned,counter,counter,counter,aligned,counter,counter,counter,counter,aligned,counter,aligned,counter,green,neutral,red,counter,grey_from_green,counter,counter,aligned,18,Sunday,off,aligned,med
2020-10-16T12:00:00+00:00,LONG,loss,-1.0,11333.25,11267.22,11478.51,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,counter,counter,counter,counter,counter,counter,counter,counter,aligned,aligned,aligned,counter,yellow_OS,neutral,red,counter,green,aligned,counter,aligned,12,Friday,NY,aligned,med
2020-10-30T06:00:00+00:00,SHORT,loss,-1.0,13400.1,13541.41,13089.23,counter,counter,counter,counter,counter,counter,counter,counter,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,counter,counter,counter,aligned,neutral,neutral,grey_from_green,aligned,grey_from_green,aligned,aligned,counter,6,Friday,Asia,counter,med
2020-11-28T03:00:00+00:00,SHORT,loss,-1.0,17046.46,17159.72,16797.29,aligned,aligned,counter,counter,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,counter,counter,counter,counter,counter,counter,aligned,aligned,neutral,green,green,counter,red,aligned,aligned,counter,3,Saturday,Asia,counter,low
2021-01-26T17:00:00+00:00,LONG,loss,-1.0,31885.02,31366.32,33026.15,counter,counter,counter,counter,counter,counter,counter,counter,counter,aligned,counter,counter,aligned,counter,counter,counter,aligned,counter,counter,counter,neutral,yellow_OS,grey_from_red,aligned,red,counter,counter,counter,17,Tuesday,off,aligned,high
2021-02-28T04:00:00+00:00,SHORT,loss,-1.0,45220.28,46447.56,42520.27,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,counter,aligned,aligned,aligned,yellow_OS,green,red,aligned,red,aligned,aligned,counter,4,Sunday,Asia,counter,med
2021-04-11T02:00:00+00:00,LONG,win,2.2,59842.63,59090.27,61497.82,aligned,counter,counter,counter,aligned,aligned,aligned,counter,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,yellow_OB,yellow_OB,red,counter,green,aligned,aligned,aligned,2,Sunday,Asia,counter,high
