signal_time,direction,outcome,R,ob_tf,fvg_tf,hull_1d_L49,hull_1d_L78,hull_1d_L100,hull_1d_L160,hull_12h_L49,hull_12h_L78,hull_12h_L100,hull_12h_L160,hull_4h_L49,hull_4h_L78,hull_4h_L100,hull_4h_L160,hull_1h_L49,hull_1h_L78,hull_1h_L100,hull_1h_L160,ema200_1d,ema200_4h,ema200_1h,ema200_15m,asvk_1h,asvk_4h,mh_1h_color,mh_1h_color_align,mh_4h_color,mh_4h_color_align,mh_1h_mf_align,mh_4h_mf_align,hour,weekday,session,do_align,atr_ratio_bin
2021-10-04T06:45:00+00:00,LONG,win,1.0,1h,15m,aligned,aligned,aligned,counter,aligned,aligned,aligned,aligned,counter,aligned,aligned,aligned,counter,counter,counter,counter,aligned,aligned,aligned,aligned,yellow_OS,yellow_OB,red,counter,grey_from_green,counter,aligned,aligned,6,Monday,Asia,aligned,high
2021-10-22T16:30:00+00:00,LONG,loss,-1.0,1h,15m,aligned,aligned,aligned,aligned,counter,aligned,aligned,aligned,counter,counter,counter,counter,counter,counter,counter,counter,aligned,aligned,counter,counter,green,neutral,grey_from_red,aligned,red,counter,counter,aligned,16,Friday,NY,aligned,med
2021-11-18T00:00:00+00:00,LONG,win,1.0,2h,15m,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,aligned,aligned,aligned,aligned,aligned,counter,counter,counter,neutral,yellow_OS,green,aligned,red,counter,counter,counter,0,Thursday,Asia,aligned,med
2021-12-02T17:20:00+00:00,LONG,win,1.0,1h,20m,counter,counter,counter,counter,aligned,aligned,counter,counter,counter,aligned,aligned,aligned,counter,counter,counter,counter,aligned,counter,counter,counter,neutral,neutral,grey_from_red,aligned,red,counter,counter,counter,17,Thursday,off,aligned,med
2021-12-06T19:45:00+00:00,SHORT,win,1.0,2h,15m,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,counter,aligned,aligned,aligned,counter,counter,counter,counter,aligned,aligned,aligned,aligned,yellow_OB,yellow_OS,green,counter,grey_from_red,counter,counter,aligned,19,Monday,off,counter,med
2022-01-02T12:00:00+00:00,SHORT,loss,-1.0,1h,15m,counter,counter,counter,aligned,aligned,aligned,counter,counter,counter,counter,aligned,aligned,aligned,counter,counter,counter,aligned,aligned,aligned,aligned,neutral,neutral,red,aligned,green,counter,counter,aligned,12,Sunday,NY,counter,low
2022-01-07T20:45:00+00:00,LONG,loss,-1.0,1h,15m,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,aligned,aligned,counter,counter,counter,counter,counter,neutral,yellow_OS,grey_from_red,aligned,red,counter,counter,counter,20,Friday,off,aligned,med
2022-01-21T00:30:00+00:00,LONG,loss,-1.0,2h,15m,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,yellow_OS,neutral,grey_from_green,counter,green,aligned,counter,counter,0,Friday,Asia,counter,med
2022-03-23T13:45:00+00:00,SHORT,loss,-1.0,2h,15m,counter,counter,counter,counter,counter,counter,counter,counter,aligned,aligned,aligned,counter,aligned,aligned,aligned,counter,aligned,counter,counter,aligned,neutral,yellow_OB,red,aligned,green,counter,aligned,counter,13,Wednesday,NY,counter,med
2022-03-28T04:15:00+00:00,SHORT,loss,-1.0,1h,15m,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,red,red,green,counter,green,counter,counter,counter,4,Monday,Asia,aligned,high
2022-03-30T23:00:00+00:00,LONG,win,1.0,1h,15m,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,counter,counter,counter,aligned,counter,counter,counter,counter,aligned,aligned,aligned,counter,green,yellow_OB,red,counter,grey_from_green,counter,aligned,aligned,23,Wednesday,off,aligned,med
2022-05-03T23:45:00+00:00,LONG,win,1.0,1h,15m,counter,counter,counter,counter,counter,aligned,aligned,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,green,neutral,red,counter,grey_from_red,aligned,counter,counter,23,Tuesday,off,aligned,med
2022-05-18T05:15:00+00:00,LONG,loss,-1.0,1h,15m,counter,counter,counter,counter,aligned,counter,counter,counter,counter,aligned,aligned,aligned,counter,counter,counter,counter,counter,counter,counter,counter,neutral,neutral,red,counter,grey_from_green,counter,aligned,counter,5,Wednesday,Asia,aligned,med
2022-05-23T14:15:00+00:00,SHORT,loss,-1.0,1h,15m,counter,aligned,aligned,aligned,counter,counter,counter,aligned,counter,counter,counter,counter,aligned,counter,counter,counter,aligned,aligned,counter,counter,yellow_OB,red,grey_from_green,aligned,green,counter,counter,counter,14,Monday,NY,aligned,med
2022-05-27T06:45:00+00:00,LONG,win,1.0,1h,15m,aligned,counter,counter,counter,aligned,aligned,aligned,counter,counter,counter,counter,aligned,counter,counter,counter,counter,counter,counter,counter,counter,yellow_OS,neutral,red,counter,red,counter,counter,counter,6,Friday,Asia,aligned,med
2022-05-27T11:20:00+00:00,LONG,win,1.0,1h,20m,aligned,counter,counter,counter,aligned,aligned,aligned,counter,counter,counter,counter,aligned,counter,counter,counter,counter,counter,counter,counter,counter,yellow_OS,neutral,red,counter,red,counter,counter,counter,11,Friday,London,aligned,med
2022-06-04T13:20:00+00:00,LONG,loss,-1.0,2h,20m,aligned,aligned,aligned,counter,counter,aligned,aligned,aligned,counter,counter,counter,counter,aligned,counter,counter,counter,counter,counter,counter,counter,yellow_OS,neutral,green,aligned,red,counter,aligned,aligned,13,Saturday,NY,aligned,low
