net_R,gross_R,outcome,bars,net_pct,risk_pct,sym,tf,year,dir,kind
1.7232059446941177,1.999999999999994,win,2,0.008871463906533506,0.005148231953266769,BTCUSDT,1h,2024,1,ROUNDING_TOP
1.712143006102431,1.999999999999997,win,1,0.008401400860109983,0.004906950430055,BTCUSDT,1h,2024,1,ROUNDING_TOP
-1.2264984182662046,-0.999999999999999,loss,24,-0.00920557117799371,0.007505571177993718,BTCUSDT,1h,2024,1,ROUNDING_TOP
-1.192905839091609,-1.0000000000000024,loss,0,-0.00865742676630527,0.007257426766305253,BTCUSDT,1h,2024,-1,ROUNDING_BOTTOM
1.8268156524860868,1.9999999999999987,win,0,0.014767742871653429,0.00808387143582672,BTCUSDT,1h,2024,1,ROUNDING_TOP
-1.2825785216768613,-0.9999999999999977,loss,7,-0.006751523575369235,0.005264023575369247,BTCUSDT,1h,2025,1,ROUNDING_TOP
1.8126208623997557,2.000000000000004,win,14,0.01523583625606265,0.008405418128031307,BTCUSDT,1h,2025,1,ROUNDING_TOP
1.7179746399149214,2.000000000000007,win,18,0.00989878636807521,0.005761893184037585,BTCUSDT,1h,2025,1,ROUNDING_TOP
-1.2807378210780973,-1.00000000000001,loss,2,-0.006500910308513968,0.005075910308513918,BTCUSDT,1h,2025,-1,ROUNDING_BOTTOM
-1.2888997394711017,-0.9999999999999922,loss,20,-0.007361323945880507,0.005711323945880551,BTCUSDT,1h,2025,-1,ROUNDING_BOTTOM
1.669609585369444,2.0000000000000075,win,11,0.007769670740526536,0.004653585370263251,BTCUSDT,1h,2025,1,ROUNDING_TOP
-1.3562197589513507,-1.000000000000001,loss,3,-0.005472930275489933,0.004035430275489928,BTCUSDT,1h,2025,-1,ROUNDING_BOTTOM
-1.1894426390037414,-0.9999999999999977,loss,3,-0.009025548855102723,0.00758804885510274,BTCUSDT,1h,2025,-1,ROUNDING_BOTTOM
-1.2179834782041,-0.9999999999999911,loss,1,-0.007892348893306467,0.006479848893306524,BTCUSDT,1h,2025,1,ROUNDING_TOP
-1.2625156554228176,-0.9999999999999896,loss,3,-0.006913363897277428,0.005475863897277485,BTCUSDT,1h,2025,-1,ROUNDING_BOTTOM
1.7204064819583949,2.000000000000002,win,25,0.01053742633588278,0.006124963167941384,BTCUSDT,1h,2026,-1,ROUNDING_BOTTOM
1.806774053308628,1.9999999999999913,win,13,0.014610276242061829,0.008086388121030949,BTCUSDT,1h,2026,1,ROUNDING_TOP
-1.1654305545764128,-0.9999999999999918,loss,5,-0.010303067594932306,0.008840567594932378,BTCUSDT,1h,2026,1,ROUNDING_TOP
1.4939787237963609,2.000000000000014,win,0,0.004133364171970372,0.002766682085985166,BTCUSDT,1h,2026,1,ROUNDING_TOP
-1.0231995560281884,-1.0,loss,6,-0.06836162338264926,0.06681162338264926,BTCUSDT,2h,2020,-1,ROUNDING_BOTTOM
1.885497706201401,1.9999999999999951,win,10,0.027170383334892634,0.014410191667446351,BTCUSDT,2h,2020,1,ROUNDING_TOP
-1.1411728458095727,-1.0000000000000042,loss,1,-0.011519009168889505,0.01009400916888946,BTCUSDT,2h,2020,1,ROUNDING_TOP
1.9260769174123349,2.000000000000001,win,5,0.039734101937246365,0.02062955096862317,BTCUSDT,2h,2021,-1,ROUNDING_BOTTOM
1.8966403482892804,2.0,win,6,0.028442361126333898,0.014996180563166948,BTCUSDT,2h,2021,-1,ROUNDING_BOTTOM
-1.1084312009872193,-0.9999999999999976,loss,0,-0.014311412833700717,0.012911412833700748,BTCUSDT,2h,2022,1,ROUNDING_TOP
1.8793370936246538,1.999999999999997,win,9,0.025309541008736315,0.013467270504368177,BTCUSDT,2h,2022,-1,ROUNDING_BOTTOM
-1.1654423832855652,-1.0000000000000013,loss,1,-0.010038270503607076,0.008613270503607063,BTCUSDT,2h,2022,-1,ROUNDING_BOTTOM
1.9028984765506238,2.0,win,5,0.029885423767348124,0.01570521188367406,BTCUSDT,2h,2022,-1,ROUNDING_BOTTOM
1.8873868717485693,1.9999999999999987,win,44,0.04189979669898322,0.022199898349491622,BTCUSDT,2h,2022,1,ROUNDING_TOP
1.9573424262851145,1.9999999999999996,win,6,0.0711217375141817,0.036335868757090856,BTCUSDT,2h,2022,-1,ROUNDING_BOTTOM
-1.252150143352945,-0.9999999999999934,loss,4,-0.007448836594157078,0.005948836594157117,BTCUSDT,2h,2022,-1,ROUNDING_BOTTOM
1.8689089489612647,1.9999999999999947,win,20,0.027087485948810486,0.01449374297440528,BTCUSDT,2h,2023,1,ROUNDING_TOP
-1.1313294599520682,-1.000000000000004,loss,18,-0.015936709872067287,0.01408670987206723,BTCUSDT,2h,2023,1,ROUNDING_TOP
-1.247155345030584,-1.0000000000000049,loss,3,-0.0074429065399840575,0.005967906539984027,BTCUSDT,2h,2023,-1,ROUNDING_BOTTOM
-1.1658020384135335,-0.9999999999999994,loss,1,-0.010019586735090947,0.008594586735090951,BTCUSDT,2h,2023,1,ROUNDING_TOP
1.771143185201171,2.0,win,23,0.015284700146889426,0.008629850073444712,BTCUSDT,2h,2023,-1,ROUNDING_BOTTOM
-1.1288145622924384,-1.0000000000000033,loss,2,-0.012706491301877898,0.011256491301877862,BTCUSDT,2h,2023,1,ROUNDING_TOP
1.8011452976422346,1.999999999999996,win,6,0.014039271781075387,0.00779463589053771,BTCUSDT,2h,2023,-1,ROUNDING_BOTTOM
-1.215821896450895,-0.9999999999999979,loss,7,-0.008872683997315509,0.0072976839973155246,BTCUSDT,2h,2023,-1,ROUNDING_BOTTOM
-1.6919139363393336,-0.9999999999999739,loss,6,-0.0037901630009078736,0.002240163000907932,BTCUSDT,2h,2023,-1,ROUNDING_BOTTOM
-1.4195472754603569,-1.0000000000000056,loss,1,-0.0048215183028215754,0.0033965183028215563,BTCUSDT,2h,2023,-1,ROUNDING_BOTTOM
-1.179710440511282,-1.000000000000004,loss,26,-0.013457239302111432,0.011407239302111386,BTCUSDT,2h,2023,1,ROUNDING_TOP
-1.1141344901559564,-0.9999999999999987,loss,4,-0.01464239015700109,0.013142390157001109,BTCUSDT,2h,2024,-1,ROUNDING_BOTTOM
1.8420440701992726,1.9999999999999942,win,5,0.01778418328832538,0.009654591644162717,BTCUSDT,2h,2024,1,ROUNDING_TOP
1.9015353028017674,1.9999999999999996,win,5,0.02945056877527021,0.015487784387635107,BTCUSDT,2h,2024,-1,ROUNDING_BOTTOM
-1.103287715862256,-0.9999999999999979,loss,20,-0.020295217515834966,0.018395217515835005,BTCUSDT,2h,2024,-1,ROUNDING_BOTTOM
1.7811844343511634,2.0000000000000067,win,2,0.011803170501836916,0.006626585250918435,BTCUSDT,2h,2025,1,ROUNDING_TOP
-1.1879051484971723,-0.9999999999999948,loss,1,-0.009008613388972134,0.007583613388972173,BTCUSDT,2h,2025,-1,ROUNDING_BOTTOM
1.852347699630737,2.0000000000000013,win,3,0.018504370403456823,0.009989685201728403,BTCUSDT,2h,2026,-1,ROUNDING_BOTTOM
1.668183483074319,2.0000000000000115,win,8,0.008043884004474169,0.004821942002237057,BTCUSDT,2h,2026,-1,ROUNDING_BOTTOM
1.9146928505144114,2.0000000000000053,win,1,0.032544806033106756,0.016997403016553333,BTCUSDT,4h,2020,1,ROUNDING_TOP
-1.067453438851628,-0.9999999999999977,loss,2,-0.023737561576354586,0.02223756157635464,BTCUSDT,4h,2020,-1,ROUNDING_BOTTOM
-1.048171410405199,-0.9999999999999991,loss,4,-0.03481472189710444,0.03321472189710447,BTCUSDT,4h,2021,1,ROUNDING_TOP
-1.0389462657829795,-0.9999999999999994,loss,1,-0.0386807837696128,0.03723078376961282,BTCUSDT,4h,2022,1,ROUNDING_TOP
-1.0325551440786698,-0.9999999999999998,loss,7,-0.05550494563228149,0.0537549456322815,BTCUSDT,4h,2022,-1,ROUNDING_BOTTOM
-1.0538797889719693,-0.9999999999999992,loss,8,-0.035207703228689456,0.03340770322868949,BTCUSDT,4h,2022,-1,ROUNDING_BOTTOM
1.8399574930707256,1.9999999999999947,win,1,0.01667018604083508,0.009060093020417563,BTCUSDT,4h,2022,-1,ROUNDING_BOTTOM
-1.0852943835641675,-0.9999999999999973,loss,8,-0.022903382482925012,0.02110338248292507,BTCUSDT,4h,2023,1,ROUNDING_TOP
-1.0812092166375784,-1.0,loss,0,-0.018639422542984726,0.017239422542984727,BTCUSDT,4h,2023,1,ROUNDING_TOP
-1.1282577356725831,-1.0000000000000002,loss,1,-0.012755360978004233,0.01130536097800423,BTCUSDT,4h,2023,-1,ROUNDING_BOTTOM
-1.1185583814802302,-1.0000000000000009,loss,2,-0.01415199458083139,0.012651994580831378,BTCUSDT,4h,2023,1,ROUNDING_TOP
-1.1019973337006201,-1.0000000000000007,loss,28,-0.03025169798475818,0.02745169798475816,BTCUSDT,4h,2023,1,ROUNDING_TOP
-0.5623858309696599,-0.4918817401403395,timeout,7,-0.013959121983140546,0.024821254758627845,BTCUSDT,4h,2026,-1,ROUNDING_BOTTOM
-1.025823006750311,-1.0000000000000004,loss,4,-0.06753276751765351,0.06583276751765349,BTCUSDT,6h,2022,-1,ROUNDING_BOTTOM
-1.0627570623549991,-1.000000000000001,loss,2,-0.02624841547445474,0.024698415474454713,BTCUSDT,6h,2022,-1,ROUNDING_BOTTOM
1.8750422561437743,2.000000000000001,win,13,0.035637850211710245,0.019006425105855113,BTCUSDT,6h,2023,1,ROUNDING_TOP
-1.0582567664452158,-0.9999999999999991,loss,7,-0.03496837191131643,0.03304337191131646,BTCUSDT,6h,2024,-1,ROUNDING_BOTTOM
1.9112999786006633,1.9999999999999993,win,10,0.04632800408796941,0.02423900204398471,BTCUSDT,6h,2025,-1,ROUNDING_BOTTOM
-1.0503176333256368,-1.0,loss,8,-0.05427174662555732,0.05167174662555732,BTCUSDT,12h,2022,-1,ROUNDING_BOTTOM
-1.1265394837942013,-1.0000000000000022,loss,14,-0.031159351018788105,0.027659351018788046,BTCUSDT,12h,2023,1,ROUNDING_TOP
-1.0829909900268393,-0.999999999999997,loss,2,-0.022184151345226166,0.02048415134522623,BTCUSDT,12h,2023,-1,ROUNDING_BOTTOM
-1.088181262571557,-0.9999999999999959,loss,1,-0.01743064216318026,0.01601814216318033,ETHUSDT,1h,2020,1,ROUNDING_TOP
-1.111944313528866,-0.9999999999999948,loss,1,-0.014030380761184876,0.012617880761184941,ETHUSDT,1h,2020,-1,ROUNDING_BOTTOM
-1.1291476171950996,-1.0000000000000016,loss,26,-0.01508180856886516,0.013356808568865139,ETHUSDT,1h,2020,1,ROUNDING_TOP
-1.1085565915858462,-0.9999999999999958,loss,13,-0.015955914321269603,0.014393414321269664,ETHUSDT,1h,2021,1,ROUNDING_TOP
1.915936887029758,1.9999999999999964,win,8,0.03418747211469687,0.017843736057348465,ETHUSDT,1h,2021,-1,ROUNDING_BOTTOM
1.9048608924551753,1.9999999999999971,win,12,0.031033866718946573,0.01629193335947331,ETHUSDT,1h,2021,-1,ROUNDING_BOTTOM
-1.0574836642608687,-0.9999999999999984,loss,3,-0.02644460451366472,0.02500710451366476,ETHUSDT,1h,2021,-1,ROUNDING_BOTTOM
-1.0544175315303286,-0.9999999999999972,loss,4,-0.028095824594079458,0.02664582459407953,ETHUSDT,1h,2022,-1,ROUNDING_BOTTOM
1.883248461560679,1.9999999999999938,win,4,0.02338907311857269,0.012419536559286383,ETHUSDT,1h,2022,1,ROUNDING_TOP
1.7776178246531706,1.9999999999999987,win,1,0.011290856263127294,0.006351678131563652,ETHUSDT,1h,2022,-1,ROUNDING_BOTTOM
-1.1293931086983673,-1.0000000000000022,loss,1,-0.012328846428407989,0.010916346428407964,ETHUSDT,1h,2022,-1,ROUNDING_BOTTOM
-1.1127300278551526,-0.9999999999999993,loss,4,-0.014312588855767012,0.012862588855767021,ETHUSDT,1h,2022,1,ROUNDING_TOP
1.9133946164430706,2.0000000000000018,win,12,0.03424454154789543,0.017897270773947694,ETHUSDT,1h,2022,-1,ROUNDING_BOTTOM
1.8953751401287098,1.9999999999999987,win,4,0.026268077745266457,0.013859038872633237,ETHUSDT,1h,2022,-1,ROUNDING_BOTTOM
-1.1046254684512469,-1.0000000000000044,loss,1,-0.014913036923839544,0.013500536923839483,ETHUSDT,1h,2022,-1,ROUNDING_BOTTOM
-1.163972156748628,-0.9999999999999984,loss,6,-0.010470429646395288,0.008995429646395301,ETHUSDT,1h,2022,1,ROUNDING_TOP
-1.0306660893041857,-1.0000000000000009,loss,9,-0.05083408075316127,0.049321580753161225,ETHUSDT,1h,2022,-1,ROUNDING_BOTTOM
1.8545992575543775,1.9999999999999933,win,20,0.021045895113701273,0.011347947556850674,ETHUSDT,1h,2022,1,ROUNDING_TOP
-1.1987785974384724,-1.0000000000000009,loss,3,-0.008669163863837015,0.00723166386383701,ETHUSDT,1h,2022,-1,ROUNDING_BOTTOM
