year,dir,net,sym,chain
2022,-1,-1.1153853518372887,BTCUSDT,break
2022,-1,-1.181253471356471,BTCUSDT,break
2022,1,1.704756527196116,BTCUSDT,break
2022,-1,-1.2743391277545637,BTCUSDT,break
2022,1,-1.076804224207295,BTCUSDT,break
2022,-1,-1.0595823079775861,BTCUSDT,break
2022,1,-1.0700058092472902,BTCUSDT,break
2022,-1,-1.1123693677471225,BTCUSDT,break
2022,1,-1.1050690461318635,BTCUSDT,break
2022,-1,-1.314821547343883,BTCUSDT,break
2022,-1,-1.194873047661425,BTCUSDT,break
2022,-1,-1.1678778837563917,BTCUSDT,break
2022,1,-1.1960554005811161,BTCUSDT,break
2022,1,-1.1951764946307974,BTCUSDT,break
2022,-1,-1.1485607121501176,BTCUSDT,break
2022,1,-1.3206341634459955,BTCUSDT,break
2022,-1,-1.1309590668158505,BTCUSDT,break
2022,-1,1.6879197269354922,BTCUSDT,break
2022,-1,-1.1964115500970876,BTCUSDT,break
2022,-1,-1.3978124796287896,BTCUSDT,break
2022,1,-1.085391475032114,BTCUSDT,break
2022,1,-1.135415867478415,BTCUSDT,break
2022,1,-1.2152570804842069,BTCUSDT,break
2022,-1,-1.228295172547717,BTCUSDT,break
2022,-1,1.9478196983901455,BTCUSDT,break
2022,-1,-1.0337820890635525,BTCUSDT,break
2022,-1,1.7751325465807999,BTCUSDT,break
2022,-1,-1.1087286857573186,BTCUSDT,break
2022,1,1.7931893889471893,BTCUSDT,break
2022,1,-1.20244003446595,BTCUSDT,break
2022,1,-1.2171247396314293,BTCUSDT,break
2022,-1,-1.259806239024324,BTCUSDT,break
2022,-1,1.5981816457537863,BTCUSDT,break
2022,1,-1.13557945648179,BTCUSDT,break
2022,-1,-1.1422131827824653,BTCUSDT,break
2022,1,-1.1688906321084924,BTCUSDT,break
2022,1,-1.1433744809050757,BTCUSDT,break
2022,-1,-1.3453691669124914,BTCUSDT,break
2022,-1,-1.400917353508517,BTCUSDT,break
2023,1,-1.3135651528523167,BTCUSDT,break
2023,1,-1.2749412957377426,BTCUSDT,break
2023,1,1.2582994813195585,BTCUSDT,break
2023,1,-1.291750023332265,BTCUSDT,break
2023,1,-1.072865171191747,BTCUSDT,break
2023,-1,-1.1873866201610794,BTCUSDT,break
2023,-1,-1.1760389738735215,BTCUSDT,break
2023,-1,-1.2166207774401705,BTCUSDT,break
2023,-1,-1.3182031845203426,BTCUSDT,break
2023,-1,1.8387289417390265,BTCUSDT,break
2023,1,-1.3375249994256482,BTCUSDT,break
2023,-1,-1.2295095085697512,BTCUSDT,break
2023,1,1.761029399606882,BTCUSDT,break
2023,-1,-1.1130216193105833,BTCUSDT,break
2023,-1,-1.169304265926213,BTCUSDT,break
2023,-1,-1.110263219363996,BTCUSDT,break
2023,1,1.922401906763016,BTCUSDT,break
2023,1,1.8084230134442296,BTCUSDT,break
2023,-1,-1.09393753669775,BTCUSDT,break
2023,1,-1.1065521230238464,BTCUSDT,break
2023,1,-1.2032126504850773,BTCUSDT,break
2023,1,-1.257568160292557,BTCUSDT,break
2023,-1,1.5484269364031475,BTCUSDT,break
2023,1,1.8900292649653276,BTCUSDT,break
2023,-1,-1.1320963330890863,BTCUSDT,break
2023,1,1.7972521854413825,BTCUSDT,break
2023,1,-1.0708576624969202,BTCUSDT,break
2023,-1,1.8567818865762773,BTCUSDT,break
2023,-1,-1.193411480880015,BTCUSDT,break
2023,1,-1.2367044556674769,BTCUSDT,break
2023,-1,-1.1658586429146889,BTCUSDT,break
2023,1,-1.1325808689861754,BTCUSDT,break
2023,-1,-1.1538805125035545,BTCUSDT,break
2023,-1,-1.1104113014005486,BTCUSDT,break
2023,-1,-1.1563741842949438,BTCUSDT,break
2023,1,1.7430047850614592,BTCUSDT,break
2023,1,-1.1614986045387456,BTCUSDT,break
2023,1,-1.0997754333648262,BTCUSDT,break
2023,1,-1.2110967975498548,BTCUSDT,break
2023,1,-1.194982736732408,BTCUSDT,break
2023,1,1.6269207240043508,BTCUSDT,break
2023,1,-1.265839479783918,BTCUSDT,break
2023,-1,-1.1063082507815396,BTCUSDT,break
2023,1,1.782856997851553,BTCUSDT,break
2023,-1,-1.322180879429866,BTCUSDT,break
2023,-1,-1.3182319898443309,BTCUSDT,break
2023,1,-1.188573975019759,BTCUSDT,break
2023,-1,-1.3289994864605446,BTCUSDT,break
2023,-1,1.7834987615633753,BTCUSDT,break
2023,1,-1.205072969292787,BTCUSDT,break
2023,-1,-1.238169451175138,BTCUSDT,break
2023,-1,-2.0999882063382063,BTCUSDT,break
2023,-1,-1.3109094279309013,BTCUSDT,break
2023,1,-1.1602369722369497,BTCUSDT,break
2023,-1,-1.3437896455416283,BTCUSDT,break
2023,1,-1.3333135807541328,BTCUSDT,break
2023,-1,-1.4532392901884712,BTCUSDT,break
2023,1,-1.1367558035821799,BTCUSDT,break
2023,1,-1.111312180252164,BTCUSDT,break
2023,-1,-1.1138884902511657,BTCUSDT,break
2023,1,-1.1977596726593245,BTCUSDT,break
2023,-1,-1.0539468257646323,BTCUSDT,break
2023,1,1.8364192523643634,BTCUSDT,break
2023,1,-1.1765431165113867,BTCUSDT,break
2023,1,-1.3909228228202262,BTCUSDT,break
2023,1,1.833345297698577,BTCUSDT,break
2023,1,-1.1924460932933418,BTCUSDT,break
2023,-1,1.6786192028876707,BTCUSDT,break
2023,-1,-1.7042230706396055,BTCUSDT,break
2023,-1,-1.3371562751355168,BTCUSDT,break
2023,1,1.790472989477995,BTCUSDT,break
2023,1,-1.128042091221975,BTCUSDT,break
2023,1,-1.142513294584715,BTCUSDT,break
2023,-1,1.8135551515781925,BTCUSDT,break
2023,1,1.76095434393675,BTCUSDT,break
2023,1,1.888783999767824,BTCUSDT,break
2023,1,-1.23665781231218,BTCUSDT,break
2023,1,-1.1430618963730796,BTCUSDT,break
2023,-1,-1.227800840635059,BTCUSDT,break
2023,1,1.8233901774759163,BTCUSDT,break
2023,1,-1.106161193647603,BTCUSDT,break
2023,-1,1.9105531088111238,BTCUSDT,break
2023,1,-1.0790527921263116,BTCUSDT,break
2023,1,-1.1890353298003256,BTCUSDT,break
2023,-1,-1.2847890390853607,BTCUSDT,break
2023,1,-1.1685001879088137,BTCUSDT,break
2023,-1,1.6059505558454061,BTCUSDT,break
2023,1,1.7972328156475048,BTCUSDT,break
2023,1,1.7941849099954452,BTCUSDT,break
2023,1,-1.067728573192535,BTCUSDT,break
2023,-1,-1.167059158917768,BTCUSDT,break
2023,-1,-1.0939191268479591,BTCUSDT,break
2023,1,1.8453962035796945,BTCUSDT,break
2023,1,-1.245900265475189,BTCUSDT,break
2023,-1,-1.2640077420087508,BTCUSDT,break
2024,1,-1.1486717800370914,BTCUSDT,break
2024,1,1.9164760436013948,BTCUSDT,break
2024,-1,1.8771897179953645,BTCUSDT,break
2024,-1,-1.0773972493665909,BTCUSDT,break
2024,-1,-1.1245679673416538,BTCUSDT,break
2024,1,-1.150205479109791,BTCUSDT,break
2024,-1,-1.0981393105551496,BTCUSDT,break
2024,1,-1.241362093665986,BTCUSDT,break
2024,1,-1.1854368060645357,BTCUSDT,break
2024,1,-1.1407840769503028,BTCUSDT,break
2024,1,1.8655033756883288,BTCUSDT,break
2024,1,1.8859772834994188,BTCUSDT,break
2024,1,1.9685502042049332,BTCUSDT,break
2024,1,-1.045994148379224,BTCUSDT,break
2024,1,-1.0857949435375553,BTCUSDT,break
2024,1,-1.1712182350476088,BTCUSDT,break
2024,-1,-1.1095685051902362,BTCUSDT,break
2024,-1,-1.1397211204737254,BTCUSDT,break
2024,-1,-1.0585589458630422,BTCUSDT,break
2024,-1,-1.0430239936411734,BTCUSDT,break
2024,1,-1.03833567988398,BTCUSDT,break
2024,-1,1.7596328289297238,BTCUSDT,break
2024,-1,1.9063700750851718,BTCUSDT,break
2024,1,1.8159421751539413,BTCUSDT,break
2024,1,-1.1787083389982462,BTCUSDT,break
2024,-1,-1.2837998116519238,BTCUSDT,break
2024,-1,1.8833861210941567,BTCUSDT,break
2024,-1,-1.050998083620471,BTCUSDT,break
2024,-1,-1.064314938061575,BTCUSDT,break
2024,-1,-1.0928902629965567,BTCUSDT,break
2024,1,-1.0697236063454356,BTCUSDT,break
2024,1,-1.1986149667651749,BTCUSDT,break
2024,-1,-1.2010145936844925,BTCUSDT,break
2024,-1,-1.3233945978634665,BTCUSDT,break
2024,-1,-1.105184004686036,BTCUSDT,break
2024,-1,1.7602551598495242,BTCUSDT,break
2024,-1,-1.1262669158365235,BTCUSDT,break
2024,1,-1.103186553529382,BTCUSDT,break
2024,1,-1.1124138930249905,BTCUSDT,break
2024,1,-1.1274163525305123,BTCUSDT,break
2024,1,-1.242368533047953,BTCUSDT,break
2024,-1,-1.175945692560919,BTCUSDT,break
2024,-1,-1.0910205148187049,BTCUSDT,break
2024,1,-1.1491181393978425,BTCUSDT,break
2024,1,-1.4644043286488873,BTCUSDT,break
2024,-1,1.816929848293374,BTCUSDT,break
2024,-1,-1.1420884122822013,BTCUSDT,break
2024,-1,-1.2353860757286697,BTCUSDT,break
2024,-1,-1.1441639906390686,BTCUSDT,break
2024,-1,1.8342600796569744,BTCUSDT,break
2024,-1,-1.1629148838915069,BTCUSDT,break
2024,1,-1.0863217930350852,BTCUSDT,break
2024,-1,-1.194389984445254,BTCUSDT,break
2024,1,-1.2755987655877126,BTCUSDT,break
2024,1,-1.147932371212258,BTCUSDT,break
2024,-1,-1.13664518279239,BTCUSDT,break
2024,1,1.893017918526132,BTCUSDT,break
2024,1,-1.0920523670907025,BTCUSDT,break
2024,1,-1.069263888732617,BTCUSDT,break
2024,-1,1.8049519135026608,BTCUSDT,break
2024,1,-1.113159733839011,BTCUSDT,break
2024,1,-1.2071258766167148,BTCUSDT,break
2024,-1,1.7202773587814217,BTCUSDT,break
2024,-1,1.8844148543894375,BTCUSDT,break
2024,-1,-1.0845151785480995,BTCUSDT,break
2024,1,1.9177422814009824,BTCUSDT,break
2024,1,-1.1548923047560686,BTCUSDT,break
2024,1,-1.1320999922335269,BTCUSDT,break
2024,-1,-1.1880342372724209,BTCUSDT,break
2024,-1,-1.1118193116365733,BTCUSDT,break
2024,1,-1.2120618702761177,BTCUSDT,break
2024,1,1.7989440982086844,BTCUSDT,break
2024,1,-1.1515604678659563,BTCUSDT,break
2024,1,-1.2052255866324864,BTCUSDT,break
2024,-1,1.8607078658798937,BTCUSDT,break
2024,1,-1.1245703316894813,BTCUSDT,break
2024,1,-1.143842995383491,BTCUSDT,break
2024,-1,1.7439138815418098,BTCUSDT,break
2024,-1,-1.1310692627188113,BTCUSDT,break
2024,1,-1.1483286999117586,BTCUSDT,break
2024,1,1.8558748287367601,BTCUSDT,break
2024,1,1.7153307449096573,BTCUSDT,break
2024,1,1.8205573316902472,BTCUSDT,break
2024,-1,-1.2867924950699539,BTCUSDT,break
2024,1,1.9280103878489274,BTCUSDT,break
2024,1,-1.2573550312596549,BTCUSDT,break
2024,1,1.659897314020963,BTCUSDT,break
2024,1,-1.1865154316774842,BTCUSDT,break
2024,-1,-1.226515074013796,BTCUSDT,break
2024,1,-1.2219784668959577,BTCUSDT,break
2024,1,-1.2111613525846943,BTCUSDT,break
2024,-1,1.583196843058912,BTCUSDT,break
2024,-1,-1.125019068759507,BTCUSDT,break
2024,-1,1.8597806349090065,BTCUSDT,break
2024,1,1.8288963021031104,BTCUSDT,break
2024,1,-1.0455050559529997,BTCUSDT,break
