is_null,symbol,tf,arm,dir,kind,against,depth_pct,imp_atr_mag,imp_bars,corr_bars,converging,rr,outcome,R,reached_mm,reversed,fwd_signed,tb,tb_fade_R,htf_aligned,regime,year,vol_contr,arm_vol_z,atr_pct,run_before,range_pos,corr_piv,imp_eff,mtf_align,hour,dow
0,BTCUSDT,1h,2020-03-25T14:00:00+00:00,UP,CHANNEL,0,92.0,5.24,4,46,0,0.0,reversed,,0,1,0.00312,none,0.0,1,-1,2020,0.472,1.119,1.018,1.99,0.705,10.0,0.813,3.0,14.0,2.0
0,BTCUSDT,1h,2020-03-28T19:00:00+00:00,DOWN,CHANNEL,0,161.2,3.69,2,77,0,0.93,open,,0,0,-0.00123,none,0.0,0,-1,2020,0.283,0.687,0.899,1.57,0.228,10.0,1.0,2.0,19.0,5.0
0,BTCUSDT,1h,2020-03-31T13:00:00+00:00,DOWN,RISING_WEDGE,0,312.9,3.77,13,87,1,0.0,reversed,,0,1,0.01567,cont,-1.0,0,-1,2020,1.058,0.99,0.989,1.66,0.756,10.0,0.657,1.0,13.0,1.0
0,BTCUSDT,1h,2020-04-01T03:00:00+00:00,DOWN,FLAG,1,117.4,6.82,6,85,0,3.22,loss,-1.0,0,0,0.01078,cont,-1.0,0,-1,2020,0.592,0.735,0.777,2.27,0.673,10.0,1.0,1.0,3.0,2.0
0,BTCUSDT,1h,2020-04-03T12:00:00+00:00,UP,CHANNEL,0,141.4,8.43,22,70,0,0.0,reversed,,0,1,-0.00638,against,1.0,0,-1,2020,0.926,1.607,1.095,4.12,0.732,10.0,0.617,2.0,12.0,4.0
0,BTCUSDT,1h,2020-04-07T02:00:00+00:00,UP,CHANNEL,0,152.0,5.97,8,119,0,1.22,open,,0,0,0.01499,none,0.0,1,-1,2020,0.669,1.426,1.095,4.79,0.816,10.0,0.869,3.0,2.0,1.0
0,BTCUSDT,1h,2020-04-07T14:00:00+00:00,UP,CHANNEL,0,132.5,6.65,16,112,0,0.0,reversed,,0,1,0.00472,against,1.0,1,-1,2020,0.691,1.393,0.988,2.53,0.774,10.0,0.793,3.0,14.0,1.0
0,BTCUSDT,1h,2020-04-05T18:00:00+00:00,DOWN,PENNANT,0,81.5,4.08,3,55,1,0.0,reversed,,0,1,0.00517,none,0.0,0,-1,2020,0.224,0.695,0.633,7.51,0.492,6.0,0.922,0.0,18.0,6.0
0,BTCUSDT,1h,2020-04-05T18:00:00+00:00,DOWN,FLAG,1,73.0,3.95,6,30,0,0.0,timeout,,0,0,-0.0107,none,0.0,0,-1,2020,0.377,0.695,0.633,2.66,0.492,4.0,0.767,0.0,18.0,6.0
0,BTCUSDT,1h,2020-04-14T10:00:00+00:00,DOWN,CHANNEL,0,98.7,6.61,25,85,0,0.0,reversed,,0,1,0.00596,against,1.0,0,1,2020,0.76,0.797,0.922,0.05,0.413,10.0,0.697,2.0,10.0,1.0
0,BTCUSDT,1h,2020-04-16T22:00:00+00:00,DOWN,CHANNEL,0,112.8,5.56,7,71,0,0.0,timeout,,0,0,0.01202,none,0.0,1,1,2020,0.588,1.698,1.216,3.81,0.977,10.0,0.86,1.0,22.0,3.0
0,BTCUSDT,1h,2020-04-15T08:00:00+00:00,UP,PENNANT,0,70.3,4.89,15,20,1,0.0,reversed,,0,1,-0.03336,against,1.0,0,1,2020,0.82,0.69,0.814,5.18,0.658,4.0,0.688,1.0,8.0,2.0
0,BTCUSDT,1h,2020-04-19T23:00:00+00:00,UP,RISING_WEDGE,0,55.7,6.96,8,83,1,0.0,reversed,,0,1,0.00902,cont,-1.0,0,1,2020,0.375,1.305,0.721,5.13,0.382,10.0,0.889,2.0,23.0,6.0
0,BTCUSDT,1h,2020-04-20T09:00:00+00:00,UP,FLAG,1,93.3,5.63,14,36,0,0.0,reversed,,0,1,-0.04474,against,1.0,0,1,2020,0.931,0.854,0.756,0.37,0.387,6.0,0.687,1.0,9.0,0.0
0,BTCUSDT,1h,2020-04-25T16:00:00+00:00,UP,PENNANT,0,196.7,6.67,25,55,1,0.0,reversed,,0,1,0.0044,cont,-1.0,1,1,2020,1.297,1.202,1.045,0.4,0.698,10.0,0.638,2.0,16.0,5.0
0,BTCUSDT,1h,2020-04-26T06:00:00+00:00,UP,RISING_WEDGE,0,44.2,7.8,8,48,1,6.58,loss,-1.0,0,0,0.01153,cont,-1.0,1,1,2020,0.343,0.413,0.521,2.16,0.512,10.0,0.88,3.0,6.0,6.0
0,BTCUSDT,1h,2020-04-28T01:00:00+00:00,UP,CHANNEL,0,193.6,3.74,5,64,0,0.03,win,0.031411931200929395,1,0,0.00266,none,0.0,1,1,2020,1.319,0.921,0.882,1.26,0.673,10.0,0.727,3.0,1.0,1.0
0,BTCUSDT,1h,2020-04-26T16:00:00+00:00,DOWN,FLAG,1,96.3,3.63,1,14,0,0.0,timeout,,0,0,-0.00226,none,0.0,0,1,2020,0.414,0.959,0.907,0.37,0.555,4.0,1.0,0.0,16.0,6.0
0,BTCUSDT,1h,2020-05-03T12:00:00+00:00,UP,PENNANT,0,82.2,9.42,26,88,1,0.0,reversed,,0,1,-0.01995,against,1.0,1,1,2020,0.843,2.187,0.855,0.43,0.557,10.0,0.933,1.0,12.0,6.0
0,BTCUSDT,1h,2020-05-05T13:00:00+00:00,DOWN,FLAG,1,139.4,3.74,5,36,0,0.0,reversed,,0,1,0.00349,none,0.0,0,1,2020,0.66,1.024,1.084,1.27,0.667,4.0,0.696,1.0,13.0,1.0
0,BTCUSDT,1h,2020-05-09T20:00:00+00:00,UP,FLAG,1,67.9,4.62,8,34,0,0.0,reversed,,0,1,-0.11353,against,1.0,1,1,2020,0.411,0.874,0.929,2.55,0.247,6.0,0.691,2.0,20.0,5.0
0,BTCUSDT,1h,2020-05-13T00:00:00+00:00,DOWN,FLAG,1,57.7,8.76,7,68,0,0.0,reversed,,0,1,0.00748,none,0.0,0,1,2020,0.664,0.87,0.708,1.99,0.758,10.0,0.989,1.0,0.0,2.0
0,BTCUSDT,1h,2020-05-16T09:00:00+00:00,UP,PENNANT,1,197.1,5.72,18,61,1,4.31,open,,0,0,0.01379,none,0.0,1,1,2020,1.41,0.448,1.113,1.41,0.337,10.0,0.564,2.0,9.0,5.0
0,BTCUSDT,1h,2020-05-16T22:00:00+00:00,DOWN,CHANNEL,0,63.5,4.79,13,20,0,0.0,reversed,,0,1,-0.01066,against,1.0,0,1,2020,0.549,0.425,0.805,0.08,0.375,6.0,0.745,2.0,22.0,5.0
0,BTCUSDT,1h,2020-05-21T04:00:00+00:00,UP,FLAG,1,99.7,7.05,21,70,0,0.0,reversed,,0,1,-0.04157,against,1.0,1,1,2020,1.179,0.784,1.148,0.77,0.276,10.0,0.586,1.0,4.0,3.0
0,BTCUSDT,1h,2020-05-21T09:00:00+00:00,DOWN,CHANNEL,0,129.5,4.3,7,57,0,0.65,open,,0,0,0.02338,cont,-1.0,0,1,2020,0.66,1.587,0.924,3.63,0.049,10.0,0.922,2.0,9.0,3.0
0,BTCUSDT,1h,2020-05-22T09:00:00+00:00,DOWN,CHANNEL,0,151.7,5.46,9,32,0,0.0,reversed,,0,1,-0.00991,against,1.0,0,1,2020,0.907,0.507,0.873,0.89,0.296,10.0,0.559,1.0,9.0,4.0
0,BTCUSDT,1h,2020-05-24T19:00:00+00:00,DOWN,CHANNEL,0,78.3,4.46,6,66,0,0.73,open,,0,0,0.02514,cont,-1.0,1,1,2020,0.305,1.412,1.046,1.47,0.363,10.0,0.999,3.0,19.0,6.0
0,BTCUSDT,1h,2020-05-26T06:00:00+00:00,DOWN,CHANNEL,0,275.5,3.72,9,52,0,0.0,reversed,,0,1,0.01811,against,1.0,1,1,2020,1.201,0.734,0.815,3.17,0.374,10.0,0.586,3.0,6.0,1.0
0,BTCUSDT,1h,2020-05-27T23:00:00+00:00,DOWN,RISING_WEDGE,1,130.9,5.68,7,73,1,0.0,reversed,,0,1,0.00364,none,0.0,1,1,2020,0.663,0.96,1.033,2.22,0.96,10.0,0.802,1.0,23.0,2.0
0,BTCUSDT,1h,2020-05-26T20:00:00+00:00,DOWN,FLAG,1,79.7,3.56,3,32,0,0.0,reversed,,0,1,0.0017,none,0.0,1,1,2020,0.537,0.887,1.06,1.31,0.487,6.0,0.572,3.0,20.0,1.0
0,BTCUSDT,1h,2020-05-30T20:00:00+00:00,UP,PENNANT,0,69.1,5.51,8,40,1,0.98,loss,-1.0,0,0,0.01221,cont,-1.0,1,1,2020,0.539,1.692,0.739,0.66,0.374,10.0,0.564,2.0,20.0,5.0
0,BTCUSDT,1h,2020-06-02T00:00:00+00:00,UP,CHANNEL,0,371.5,4.36,3,62,0,0.0,timeout,,0,0,-0.00115,none,0.0,1,1,2020,0.88,3.33,1.601,2.23,0.728,10.0,0.902,3.0,0.0,1.0
0,BTCUSDT,1h,2020-06-05T17:00:00+00:00,DOWN,FLAG,1,55.9,7.48,2,61,0,3.41,open,,0,0,-4e-05,none,0.0,0,1,2020,0.164,0.713,1.011,9.86,0.636,10.0,1.0,1.0,17.0,4.0
0,BTCUSDT,1h,2020-06-06T14:00:00+00:00,UP,RISING_WEDGE,0,153.5,4.63,7,70,1,0.0,reversed,,0,1,0.00447,cont,-1.0,1,-1,2020,0.845,0.482,0.643,8.32,0.34,10.0,0.569,2.0,14.0,5.0
0,BTCUSDT,1h,2020-06-11T06:00:00+00:00,UP,CHANNEL,0,85.7,4.38,6,65,0,0.0,reversed,,0,1,-0.01118,against,1.0,0,1,2020,0.533,2.869,1.356,2.48,0.562,10.0,0.72,1.0,6.0,3.0
0,BTCUSDT,1h,2020-06-14T15:00:00+00:00,DOWN,CHANNEL,0,71.7,3.62,3,39,0,1.01,win,1.009291654886589,1,0,0.00387,none,0.0,1,1,2020,0.395,2.177,0.672,1.61,0.462,10.0,0.874,3.0,15.0,6.0
0,BTCUSDT,1h,2020-06-15T07:00:00+00:00,DOWN,CHANNEL,0,398.9,3.53,3,15,0,0.0,reversed,,0,1,0.00355,none,0.0,1,1,2020,1.75,3.347,1.443,0.34,0.364,4.0,1.0,3.0,7.0,0.0
0,BTCUSDT,1h,2020-06-23T21:00:00+00:00,UP,CHANNEL,0,333.7,3.66,1,73,0,0.0,reversed,,0,1,-0.00308,none,0.0,1,1,2020,0.541,0.668,1.01,1.22,0.722,10.0,1.0,3.0,21.0,1.0
0,BTCUSDT,1h,2020-06-24T14:00:00+00:00,UP,FLAG,1,141.9,7.53,16,42,0,0.0,reversed,,0,1,-0.01181,against,1.0,0,1,2020,0.966,1.619,1.673,1.3,0.03,8.0,0.716,0.0,14.0,2.0
0,BTCUSDT,1h,2020-06-24T07:00:00+00:00,UP,PENNANT,0,49.4,3.91,2,22,1,0.0,reversed,,0,1,0.00124,none,0.0,0,1,2020,0.458,2.731,1.023,5.55,0.297,4.0,1.0,1.0,7.0,2.0
0,BTCUSDT,1h,2020-06-26T15:00:00+00:00,DOWN,PENNANT,0,107.8,5.81,6,49,1,8.03,open,,0,0,-0.0027,none,0.0,1,-1,2020,0.65,1.563,1.218,1.97,0.339,10.0,0.643,3.0,15.0,4.0
0,BTCUSDT,1h,2020-06-27T06:00:00+00:00,DOWN,CHANNEL,0,70.1,5.69,14,41,0,1.5,loss,-1.0,0,0,0.02522,cont,-1.0,1,-1,2020,0.644,0.558,0.698,4.41,0.473,10.0,0.579,3.0,6.0,5.0
0,BTCUSDT,1h,2020-06-27T15:00:00+00:00,UP,FALLING_WEDGE,1,91.1,4.25,5,42,1,0.0,reversed,,0,1,-0.01945,against,1.0,0,-1,2020,0.422,0.977,0.681,5.59,0.29,10.0,0.893,0.0,15.0,5.0
0,BTCUSDT,1h,2020-06-29T15:00:00+00:00,DOWN,RISING_WEDGE,1,69.1,5.7,13,37,1,0.0,reversed,,0,1,-0.00354,against,1.0,1,-1,2020,0.796,1.326,0.767,0.75,0.815,6.0,0.809,1.0,15.0,0.0
0,BTCUSDT,1h,2020-07-02T14:00:00+00:00,UP,CHANNEL,0,106.5,4.07,9,48,0,0.0,reversed,,0,1,-0.0118,against,1.0,0,-1,2020,0.719,1.103,0.867,2.5,0.573,10.0,0.591,0.0,14.0,3.0
0,BTCUSDT,1h,2020-07-05T10:00:00+00:00,DOWN,PENNANT,0,253.4,3.92,14,68,1,2.05,loss,-1.0,0,0,-0.00368,cont,-1.0,1,-1,2020,1.022,1.599,0.911,3.25,0.245,10.0,0.588,3.0,10.0,6.0
0,BTCUSDT,1h,2020-07-05T22:00:00+00:00,DOWN,CHANNEL,0,93.5,5.81,3,72,0,0.0,reversed,,0,1,-0.00172,none,0.0,1,-1,2020,0.298,1.907,1.308,0.93,0.605,10.0,1.0,2.0,22.0,6.0
0,BTCUSDT,1h,2020-07-09T14:00:00+00:00,UP,CHANNEL,0,58.6,9.37,19,64,0,0.0,reversed,,0,1,-0.01198,against,1.0,1,-1,2020,0.745,2.407,1.018,2.15,0.348,10.0,0.657,1.0,14.0,3.0
0,BTCUSDT,1h,2020-07-08T11:00:00+00:00,DOWN,FLAG,1,75.0,3.79,9,14,0,0.0,reversed,,0,1,-0.01327,against,1.0,0,-1,2020,1.07,1.052,0.932,5.03,0.664,4.0,0.716,0.0,11.0,2.0
0,BTCUSDT,1h,2020-07-09T14:00:00+00:00,UP,PENNANT,0,194.0,3.56,7,28,1,0.0,reversed,,0,1,-0.00508,against,1.0,1,-1,2020,1.429,2.407,1.018,2.07,0.348,4.0,0.557,1.0,14.0,3.0
0,BTCUSDT,1h,2020-07-14T12:00:00+00:00,DOWN,CHANNEL,0,75.0,8.01,17,84,0,1.8,open,,0,0,-0.00426,against,1.0,0,-1,2020,0.688,1.392,1.058,0.32,0.397,10.0,0.636,2.0,12.0,1.0
0,BTCUSDT,1h,2020-07-14T04:00:00+00:00,UP,FALLING_WEDGE,1,84.3,4.2,3,14,1,12.95,loss,-1.0,0,0,-0.00097,none,0.0,1,-1,2020,1.304,2.432,1.081,0.39,0.201,4.0,1.0,1.0,4.0,1.0
