symbol,tf,kind,expdir,dirR,mfe_h,confirmed,height_atr,htf_align,regime_align,bar_mom,year
BTCUSDT,1h,RECTANGLE,UP,-1,,0,4.855882870234339,1,1,0.9059328383625098,2020
BTCUSDT,1h,SYM_TRIANGLE,DOWN,-1,0.4024587818279536,1,7.201727036653198,0,0,1.0765794971543743,2020
BTCUSDT,1h,DOUBLE_BOTTOM,UP,1,0.5307364576993293,1,2.6857749705313108,1,1,1.2375286346551548,2020
BTCUSDT,1h,TRIPLE_BOTTOM,UP,1,,0,6.149656384138059,1,1,1.2375286346551548,2020
BTCUSDT,1h,DESC_TRIANGLE,DOWN,-1,0.7277816263563966,1,6.710806185308609,0,0,1.2375286346551548,2020
BTCUSDT,1h,RECTANGLE,DOWN,1,3.225051270741719,1,2.4985598352406377,0,0,1.1212114938721527,2020
BTCUSDT,1h,DOUBLE_TOP,DOWN,1,0.224331876477747,1,2.229654479894121,0,0,1.8283582089552266,2020
BTCUSDT,1h,ASC_TRIANGLE,UP,-1,,0,3.869725583721904,1,1,1.8283582089552266,2020
BTCUSDT,1h,DOUBLE_BOTTOM,UP,-1,,0,2.838299038238623,1,1,1.2353259380510506,2020
BTCUSDT,1h,DOUBLE_TOP,DOWN,1,0.6664620578531398,1,4.540436968098343,0,0,1.2377942567063076,2020
BTCUSDT,1h,SYM_TRIANGLE,UP,-1,0.23047688862123208,1,10.927215005938596,1,1,1.2377942567063076,2020
BTCUSDT,1h,RECTANGLE,DOWN,-1,0.525678515699572,1,4.144900334286593,0,0,1.254766865614644,2020
BTCUSDT,1h,DOUBLE_TOP,DOWN,1,0.4814757120232643,1,3.748534962774498,1,0,0.6857277915649916,2020
BTCUSDT,1h,RECTANGLE,DOWN,1,0.31640839190480313,1,4.003964530842302,1,0,0.6857277915649916,2020
BTCUSDT,1h,RECTANGLE,DOWN,-1,,0,4.969383641571561,1,0,1.202913822978182,2020
BTCUSDT,1h,RECTANGLE,DOWN,1,,0,7.296570840915109,0,0,1.2354483163466783,2020
BTCUSDT,1h,RECTANGLE,DOWN,1,0.4842941630671005,1,6.172974826853163,1,0,0.548522603648029,2020
BTCUSDT,1h,DOUBLE_TOP,DOWN,1,2.7666359755587098,1,3.22207667116163,1,0,1.4724137931034296,2020
BTCUSDT,1h,RECTANGLE,DOWN,1,0.06554324167892063,1,4.562869063685092,1,0,1.514591768745835,2020
BTCUSDT,1h,DOUBLE_BOTTOM,UP,1,0.13220066650797518,1,3.6256540266465294,0,1,2.5606559145585055,2020
BTCUSDT,1h,DOUBLE_TOP,DOWN,-1,,0,2.872739298181166,1,0,1.212595994855767,2020
BTCUSDT,1h,DESC_TRIANGLE,DOWN,-1,,0,7.35195510688748,1,0,1.212595994855767,2020
BTCUSDT,1h,DOUBLE_BOTTOM,UP,0,0.071681619507706,1,2.1757690162598244,0,1,0.9044432050566903,2020
