is_null,symbol,tf,arm,kind,end_dir,rev_R,mfe_rev_atr,mae_atr,sagitta_atr,depth_atr,a_norm,arc_gain,r2_quad,L,apex_pos,mtf_up,regime,year
0,BTCUSDT,1h,2020-08-26T10:00:00+00:00,ROUNDING_BOTTOM,UP,1.0,2.305,3.131,1.79,6.98,0.015913,0.308,0.84,30,0.67,1,1,2020
0,BTCUSDT,1h,2020-09-03T02:00:00+00:00,ROUNDING_BOTTOM,UP,1.0,11.053,0.434,1.79,6.25,0.03583,0.448,0.836,20,0.65,1,-1,2020
0,BTCUSDT,1h,2020-09-05T00:00:00+00:00,ROUNDING_BOTTOM,UP,1.0,4.132,0.221,2.03,7.93,0.008033,0.302,0.863,45,0.69,1,-1,2020
0,BTCUSDT,1h,2020-09-15T00:00:00+00:00,ROUNDING_BOTTOM,UP,-1.0,0.966,5.357,2.36,6.08,0.009311,0.532,0.808,45,0.4,3,-1,2020
0,BTCUSDT,1h,2020-09-21T14:00:00+00:00,ROUNDING_TOP,DOWN,0.0,,,1.64,5.86,-0.032736,0.417,0.924,20,0.35,1,-1,2020
0,BTCUSDT,1h,2020-09-22T12:00:00+00:00,ROUNDING_BOTTOM,UP,1.0,1.549,1.234,1.97,8.3,0.017479,0.348,0.809,30,0.67,2,-1,2020
0,BTCUSDT,1h,2020-09-25T10:00:00+00:00,ROUNDING_TOP,DOWN,1.0,3.353,0.52,1.63,7.04,-0.014516,0.199,0.87,30,0.73,1,-1,2020
0,BTCUSDT,1h,2020-10-11T23:00:00+00:00,ROUNDING_TOP,DOWN,-1.0,5.55,3.115,1.87,9.05,-0.003545,0.201,0.837,65,0.74,2,1,2020
0,BTCUSDT,1h,2020-10-23T08:00:00+00:00,ROUNDING_TOP,DOWN,-1.0,3.844,1.754,1.98,11.56,-0.003756,0.116,0.909,65,0.85,2,1,2020
0,BTCUSDT,1h,2020-11-01T23:00:00+00:00,ROUNDING_TOP,DOWN,-1.0,3.579,6.655,1.71,8.67,-0.00323,0.23,0.814,65,0.71,2,1,2020
0,BTCUSDT,1h,2020-11-07T05:00:00+00:00,ROUNDING_TOP,DOWN,-1.0,1.81,7.68,1.98,12.94,-0.003752,0.087,0.924,65,0.91,3,1,2020
0,BTCUSDT,1h,2020-11-19T00:00:00+00:00,ROUNDING_TOP,DOWN,-1.0,3.744,1.521,1.5,6.39,-0.005935,0.279,0.877,45,0.69,3,1,2020
